frame,frame_timestamp,ray_timestamp,ray_index,ray_id,x,y,z,intensity,distance,hit
2,0.209934,0.209934,26,26,36.197201,0.947858,-0.315997,0.002728,36.210987,1
2,0.209934,0.209934,27,27,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,0.209934,0.209934,28,28,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,0.209934,0.209934,29,29,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,0.209934,0.209934,30,30,7.127070,0.311175,-0.311471,0.013835,7.140656,1
2,0.209934,0.209934,31,31,11.911700,0.520076,-0.312216,0.008283,11.927135,1
2,0.209934,0.209934,32,32,36.174801,1.579420,-0.315993,0.002728,36.210640,1
2,0.209934,0.209934,33,33,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,0.209934,0.209934,34,34,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,0.209934,0.209934,35,35,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,0,0,7.207630,-0.314692,-0.314992,0.013718,7.221370,1
3,0.309794,0.309794,1,1,12.115600,-0.528979,-0.317561,0.008166,12.131299,1
3,0.309794,0.309794,2,2,37.899300,-1.654720,-0.331057,0.002611,37.936852,1
3,0.309794,0.309794,3,3,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,4,4,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,5,5,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,6,6,7.212080,-0.188855,-0.314994,0.013718,7.221426,1
3,0.309794,0.309794,7,7,12.123200,-0.317456,-0.317565,0.008166,12.131514,1
3,0.309794,0.309794,8,8,37.923901,-0.993072,-0.331070,0.002611,37.938347,1
3,0.309794,0.309794,9,9,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,10,10,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,11,11,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,12,12,7.214300,-0.062958,-0.314995,0.013718,7.221448,1
3,0.309794,0.309794,13,13,12.126900,-0.105830,-0.317567,0.008166,12.131518,1
3,0.309794,0.309794,14,14,37.936199,-0.331064,-0.331077,0.002611,37.939087,1
3,0.309794,0.309794,15,15,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,17,17,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,18,18,7.214300,0.062958,-0.314995,0.013718,7.221448,1
3,0.309794,0.309794,19,19,12.126900,0.105830,-0.317567,0.008166,12.131518,1
3,0.309794,0.309794,20,20,37.936199,0.331064,-0.331077,0.002611,37.939087,1
3,0.309794,0.309794,21,21,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,22,22,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,23,23,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,24,24,7.212080,0.188855,-0.314994,0.013718,7.221426,1
3,0.309794,0.309794,25,25,12.123200,0.317456,-0.317565,0.008166,12.131514,1
3,0.309794,0.309794,26,26,37.923901,0.993072,-0.331070,0.002611,37.938347,1
3,0.309794,0.309794,27,27,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,28,28,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,29,29,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,30,30,7.207630,0.314692,-0.314992,0.013718,7.221370,1
3,0.309794,0.309794,31,31,12.115600,0.528979,-0.317561,0.008166,12.131299,1
3,0.309794,0.309794,32,32,37.290401,1.628140,-0.325739,0.002611,37.327351,1
3,0.309794,0.309794,33,33,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,34,34,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,0.309794,0.309794,35,35,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,0,0,7.304260,-0.318911,-0.319215,0.013581,7.318184,1
4,0.400525,0.400525,1,1,12.363200,-0.539790,-0.324051,0.008028,12.379221,1
4,0.400525,0.400525,2,2,40.136799,-1.752410,-0.350602,0.002474,40.176567,1
4,0.400525,0.400525,3,3,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,4,4,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,5,5,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,6,6,7.308810,-0.191388,-0.319219,0.013581,7.318281,1
4,0.400525,0.400525,7,7,12.371100,-0.323947,-0.324058,0.008028,12.379583,1
4,0.400525,0.400525,8,8,40.164299,-1.051740,-0.350628,0.002474,40.179596,1
4,0.400525,0.400525,9,9,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,10,10,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,11,11,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,12,12,7.311090,-0.063803,-0.319221,0.013581,7.318334,1
4,0.400525,0.400525,13,13,12.375000,-0.107995,-0.324062,0.008028,12.379713,1
4,0.400525,0.400525,14,14,40.178001,-0.350628,-0.350641,0.002473,40.181061,1
4,0.400525,0.400525,15,15,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,16,16,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,17,17,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,0.400525,0.400525,18,18,7.311090,0.063803,-0.319221,0.013581,7.318334,1
4,0.400525,0.400525,19,19,12.375000,0.107995,-0.324062,0.008028,12.379713,1
4,0.400525,0.400525,20,20,40.178001,0.350628,-0.350641,0.002473,40.181061,1
